FCS,HDDS,rCSI,HHS
2.283426303,2.072738586,1.414580558,0.148982766
0.1060344,0.270984566,0.039975747,0.148982766
0.46893305,-0.930184781,1.414580558,-0.764119266
2.55560029,0.871569239,-0.959736843,1.062084797
2.374150965,0.871569239,-0.83477277,-0.764119266
-0.075414926,0.871569239,-0.959736843,-0.764119266
1.920527652,0.871569239,-1.084700917,-0.764119266
0.378208387,-0.930184781,-0.709808696,0.148982766
-0.347588914,0.871569239,-0.209952401,-0.764119266
0.922556363,-0.329600108,-0.83477277,-0.764119266
2.374150965,-0.329600108,-0.709808696,0.148982766
2.101976977,1.472153912,-0.459880548,-0.764119266
0.1060344,0.270984566,0.914724263,1.062084797
-0.891936889,-0.329600108,0.289903894,1.062084797
5.005166181,0.871569239,-1.334629065,-0.764119266
-0.075414926,-0.329600108,-1.084700917,-0.764119266
-0.982661552,-1.530769454,0.16493982,-0.764119266
-0.438313576,-0.329600108,0.039975747,0.148982766
-0.256864251,-0.329600108,-0.709808696,0.148982766
1.829802989,-0.329600108,-1.209664991,-0.764119266
0.1060344,-0.329600108,-0.959736843,-0.764119266
1.104005688,0.871569239,-1.334629065,-0.764119266
2.283426303,0.270984566,0.539832042,0.148982766
-0.846574558,-1.530769454,1.789472779,1.975186829
-0.529038239,0.871569239,1.289616484,-0.764119266
0.287483725,0.270984566,-0.83477277,0.148982766
-0.619762901,-1.530769454,-0.459880548,-0.764119266
2.646324953,0.270984566,-1.334629065,-0.764119266
0.196759062,0.270984566,-1.334629065,-0.764119266
0.922556363,0.270984566,-0.83477277,-0.764119266
1.648353664,0.270984566,-0.584844622,0.148982766
0.378208387,0.270984566,-0.959736843,-0.764119266
-0.619762901,-0.329600108,-0.83477277,-0.764119266
1.194730351,0.270984566,-0.709808696,0.148982766
-0.529038239,-0.329600108,-0.209952401,0.148982766
-0.665125233,-1.530769454,1.539544631,2.88828886
1.466904339,-0.329600108,-0.334916475,-0.764119266
-0.801212227,-0.329600108,-0.584844622,0.148982766
0.287483725,0.270984566,-1.334629065,1.062084797
0.46893305,0.270984566,-0.584844622,-0.764119266
-0.075414926,0.270984566,-0.084988327,-0.764119266
0.196759062,-0.329600108,-0.83477277,-0.764119266
-0.438313576,-0.329600108,1.16465241,1.062084797
-0.801212227,-0.329600108,-1.334629065,-0.764119266
-0.529038239,-0.329600108,0.789760189,1.062084797
-0.075414926,0.270984566,-0.334916475,0.148982766
-0.937299221,-2.131354128,0.539832042,0.148982766
1.466904339,0.871569239,-0.83477277,1.062084797
-0.166139588,-0.329600108,-1.209664991,-0.764119266
-1.028023883,-0.930184781,0.664796115,-0.764119266
1.376179676,0.270984566,-1.209664991,-0.764119266
-0.619762901,-0.329600108,-0.334916475,-0.764119266
-0.982661552,-0.930184781,-0.83477277,-0.764119266
1.013281026,0.270984566,-0.83477277,-0.764119266
-0.166139588,-0.329600108,-0.459880548,-0.764119266
0.378208387,-0.930184781,-0.459880548,-0.764119266
-0.347588914,-0.329600108,-1.084700917,0.148982766
-0.710487564,-0.329600108,-0.83477277,-0.764119266
0.1060344,0.270984566,-0.83477277,-0.764119266
0.1060344,0.871569239,-0.83477277,-0.764119266
0.831831701,-0.329600108,-1.334629065,-0.764119266
-0.21150192,0.270984566,-0.459880548,1.975186829
0.1060344,0.270984566,-0.959736843,-0.764119266
-0.710487564,0.270984566,0.289903894,1.062084797
-0.801212227,-0.329600108,-0.334916475,0.148982766
-0.166139588,-0.329600108,-0.584844622,1.062084797
-0.166139588,0.270984566,-0.334916475,-0.764119266
-0.982661552,-0.329600108,-0.459880548,-0.764119266
0.015309737,-0.329600108,-1.334629065,-0.764119266
0.378208387,-0.329600108,-0.83477277,-0.764119266
-0.166139588,-0.329600108,-0.084988327,-0.764119266
-1.073386215,-0.329600108,1.289616484,1.975186829
0.378208387,0.270984566,-0.709808696,-0.764119266
-0.347588914,0.270984566,1.664508705,1.062084797
1.013281026,0.270984566,-1.334629065,-0.764119266
